Date,Open,High,Low,Price,Vol,Change,BBL_200_2,BBM_200_2,BBU_200_2,EMA_100,EMA_200,EMA_50,Price_EMA50_Ratio,RSI_14,Return_20,Return_60,V_Roll_MEAN_20,V_Roll_MEAN_60
2015-01-05,545.43000,549.22000,543.78000,544.45000,95950.00000,-0.00220,,,,,,,,,,,95950.00000,95950.00000
2015-01-06,539.08000,550.11000,538.82000,549.66000,112320.00000,0.00960,,,,,,,,,,,104135.00000,104135.00000
2015-01-07,548.44000,555.83000,548.44000,552.05000,111710.00000,0.00430,,,,,,,,,,,106660.00000,106660.00000
2015-01-08,553.49000,556.80000,552.15000,553.47000,77870.00000,0.00260,,,,,,,,,,,99462.50000,99462.50000
2015-01-09,555.53000,570.52000,555.53000,569.73000,107480.00000,0.02940,,,,,,,,,,,101066.00000,101066.00000
2015-01-12,575.86000,579.73000,574.07000,574.32000,134930.00000,0.00810,,,,,,,,,,,106710.00000,106710.00000
2015-01-13,573.26000,580.65000,573.26000,580.60000,111670.00000,0.01090,,,,,,,,,,,107418.57143,107418.57143
2015-01-14,579.77000,582.21000,571.67000,577.01000,108940.00000,-0.00620,,,,,,,,,,,107608.75000,107608.75000
2015-01-15,577.01000,581.24000,575.36000,577.74000,120100.00000,0.00130,,,,,,,,,,,108996.66667,108996.66667
2015-01-16,576.88000,578.51000,574.08000,574.81000,106680.00000,-0.00510,,,,,,,,,,,108765.00000,108765.00000
2015-01-19,576.50000,579.06000,570.10000,571.51000,88380.00000,-0.00570,,,,,,,,,,,106911.81818,106911.81818
2015-01-20,570.78000,574.96000,570.14000,572.22000,79460.00000,0.00120,,,,,,,,,,,104624.16667,104624.16667
2015-01-21,573.54000,574.41000,569.12000,569.12000,83040.00000,-0.00540,,,,,,,,,,,102963.84615,102963.84615
2015-01-22,569.74000,576.48000,567.82000,574.54000,83830.00000,0.00950,,,,,,,,,,,101597.14286,101597.14286
2015-01-23,578.22000,583.57000,577.57000,582.38000,184120.00000,0.01360,,,,,,,,76.99782,,,107098.66667,107098.66667
2015-01-26,584.89000,586.76000,580.64000,580.64000,139910.00000,-0.00300,,,,,,,,73.58241,,,109149.37500,109149.37500
2015-01-27,580.45000,584.28000,575.50000,579.30000,157540.00000,-0.00230,,,,,,,,70.97153,,,111995.88235,111995.88235
2015-01-28,579.56000,584.35000,578.59000,583.76000,113560.00000,0.00770,,,,,,,,74.24688,,,112082.77778,112082.77778
2015-01-29,584.18000,585.66000,580.37000,583.28000,109680.00000,-0.00080,,,,,,,,73.28845,,,111956.31579,111956.31579
2015-01-30,584.08000,584.08000,574.46000,576.07000,102200.00000,-0.01240,,,,,,,,60.62836,,,111468.50000,111468.50000
2015-02-02,576.07000,579.73000,570.37000,570.37000,85070.00000,-0.00990,,,,,,,,52.85495,0.04761,,110924.50000,110211.42857
2015-02-03,572.56000,574.83000,557.47000,557.47000,96960.00000,-0.02260,,,,,,,,40.27077,0.01421,,110156.50000,109609.09091
2015-02-04,556.93000,561.69000,553.21000,561.45000,100170.00000,0.00710,,,,,,,,44.64941,0.01703,,109579.50000,109198.69565
2015-02-05,562.17000,568.22000,562.05000,567.17000,78740.00000,0.01020,,,,,,,,50.28965,0.02475,,109623.00000,107929.58333
2015-02-06,569.03000,574.36000,569.03000,574.13000,64280.00000,0.01230,,,,,,,,56.14546,0.00772,,107463.00000,106183.60000
2015-02-09,574.06000,577.04000,572.79000,573.55000,71320.00000,-0.00100,,,,,,,,55.55812,-0.00134,,104282.50000,104842.69231
2015-02-10,575.74000,578.42000,574.24000,574.52000,73830.00000,0.00170,,,,,,,,56.37997,-0.01047,,102390.50000,103694.07407
2015-02-11,574.88000,581.76000,574.88000,581.76000,77500.00000,0.01260,,,,,,,,62.02479,0.00823,,100818.50000,102758.57143
2015-02-12,582.52000,584.99000,581.86000,584.67000,82990.00000,0.00500,,,,,,,,64.03914,0.01200,,98963.00000,102076.89655
2015-02-13,586.26000,589.02000,585.60000,587.24000,73840.00000,0.00440,,,,,,,,65.76622,0.02162,,97321.00000,101135.66667
2015-02-24,590.18000,596.95000,589.74000,596.95000,62890.00000,0.01650,,,,,,,,71.36239,0.04451,,96046.50000,99901.93548
2015-02-25,596.90000,601.55000,592.66000,592.66000,99240.00000,-0.00720,,,,,,,,66.21249,0.03572,,97035.50000,99881.25000
2015-02-26,593.95000,597.07000,591.78000,596.72000,89940.00000,0.00690,,,,,,,,68.52731,0.04850,,97380.50000,99580.00000
2015-02-27,598.00000,598.40000,590.58000,592.57000,78310.00000,-0.00700,,,,,,,,63.72164,0.03138,,97104.50000,98954.41176
2015-03-02,591.75000,593.72000,588.59000,590.73000,86660.00000,-0.00310,,,,,,,,61.65708,0.01434,,92231.50000,98603.14286
2015-03-03,590.42000,597.45000,590.42000,596.72000,112830.00000,0.01010,,,,,,,,65.56814,0.02769,,90877.50000,98998.33333
2015-03-04,598.49000,600.69000,595.34000,600.39000,120520.00000,0.00620,,,,,,,,67.73937,0.03641,,89026.50000,99580.00000
2015-03-05,601.08000,602.40000,596.75000,596.91000,134360.00000,-0.00580,,,,,,,,63.64127,0.02253,,90066.50000,100495.26316
2015-03-06,596.42000,598.33000,592.71000,593.97000,101680.00000,-0.00490,,,,,,,,60.32108,0.01833,,89666.50000,100525.64103
2015-03-09,594.08000,596.32000,587.27000,588.44000,98830.00000,-0.00930,,,,,,,,54.55571,0.02147,,89498.00000,100483.25000
2015-03-10,586.38000,591.17000,586.38000,589.66000,105170.00000,0.00210,,,,,,,,55.56474,0.03382,,90503.00000,100597.56098
2015-03-11,589.04000,590.56000,586.49000,586.54000,86320.00000,-0.00530,,,,,,,,52.36270,0.05215,,89971.00000,100257.61905
2015-03-12,585.89000,589.67000,585.48000,588.53000,82740.00000,0.00340,,,,,,,,54.17654,0.04823,,89099.50000,99850.23256
2015-03-13,589.04000,591.75000,586.10000,586.10000,97280.00000,-0.00410,,,,,,,,51.59319,0.03338,,90026.50000,99791.81818
2015-03-16,583.26000,586.19000,580.55000,580.80000,100540.00000,-0.00900,,,,,,,,46.39668,0.01162,,91839.50000,99808.44444
2015-03-17,580.60000,583.59000,580.60000,581.76000,105060.00000,0.00170,,,,,,,,47.42954,0.01431,,93526.50000,99922.60870
2015-03-18,580.81000,581.53000,577.26000,578.68000,108040.00000,-0.00530,,,,,,,,44.46900,0.00724,,95237.00000,100095.31915
2015-03-19,579.39000,580.32000,573.52000,573.74000,84530.00000,-0.00850,,,,,,,,40.14114,-0.01379,,95588.50000,99771.04167
2015-03-20,572.57000,577.56000,571.92000,575.44000,151540.00000,0.00300,,,,,,,,42.22497,-0.01579,,99016.00000,100827.55102
2015-03-23,576.64000,579.39000,570.44000,570.89000,99550.00000,-0.00790,,,,,,578.34380,0.98711,38.37442,-0.02784,,100301.50000,100802.00000
2015-03-24,569.33000,569.91000,562.07000,567.43000,91920.00000,-0.00610,,,,,,577.91581,0.98186,35.70777,-0.04945,,101753.00000,100627.84314
2015-03-25,567.62000,568.40000,559.87000,560.93000,87610.00000,-0.01150,,,,,,577.24970,0.97173,31.30648,-0.05354,,101171.50000,100377.50000
2015-03-26,556.12000,559.68000,553.19000,556.16000,83830.00000,-0.00850,,,,,,576.42265,0.96485,28.52758,-0.06797,,100866.00000,100065.28302
2015-03-27,558.93000,561.13000,549.65000,551.42000,91630.00000,-0.00850,,,,,,575.44215,0.95825,26.05280,-0.06944,,101532.00000,99909.07407
2015-03-30,551.75000,554.26000,545.07000,545.19000,108630.00000,-0.01130,,,,,,574.25580,0.94939,23.20361,-0.07709,,102630.50000,100067.63636
2015-03-31,544.87000,552.72000,544.87000,551.13000,83620.00000,0.01090,,,,,,573.34890,0.96125,30.95665,-0.07640,,101170.00000,99773.92857
2015-04-01,550.80000,551.69000,537.30000,538.91000,129130.00000,-0.02220,,,,,,571.99836,0.94215,25.29828,-0.10240,,101600.50000,100288.94737
2015-04-02,540.54000,546.85000,536.87000,546.85000,89760.00000,0.01470,,,,,,571.01215,0.95769,33.76922,-0.08387,,99370.50000,100107.41379
2015-04-03,548.69000,550.30000,544.22000,547.85000,70710.00000,0.00180,,,,,,570.10383,0.96097,34.77244,-0.07765,,97822.00000,99609.15254
2015-04-06,548.11000,549.28000,542.97000,542.97000,71850.00000,-0.00890,,,,,,569.03976,0.95419,32.20848,-0.07727,,96473.00000,99146.50000
2015-04-07,542.71000,548.37000,540.79000,548.11000,96780.00000,0.00950,,,,,,568.21898,0.96461,37.44081,-0.07046,0.00672,96053.50000,99160.33333
2015-04-08,549.69000,551.23000,546.29000,547.72000,80150.00000,-0.00070,,,,,,567.41510,0.96529,37.20616,-0.06618,-0.00353,95745.00000,98624.16667
2015-04-09,547.26000,552.53000,546.76000,550.52000,94460.00000,0.00510,,,,,,566.75255,0.97136,40.10831,-0.06458,-0.00277,96331.00000,98336.66667
2015-04-10,550.96000,557.65000,550.96000,554.03000,104200.00000,0.00640,,,,,,566.25362,0.97841,43.62569,-0.05472,0.00101,96677.00000,98775.50000
2015-04-13,556.35000,559.68000,555.97000,559.54000,72140.00000,0.00990,,,,,,565.99034,0.98860,48.71726,-0.03660,-0.01789,95257.00000,98186.50000
2015-04-14,559.81000,562.95000,558.49000,558.67000,69540.00000,-0.00160,,,,,,565.70327,0.98757,47.98040,-0.03969,-0.02725,93481.00000,97096.66667
2015-04-15,558.94000,565.39000,558.94000,564.50000,82310.00000,0.01040,,,,,,565.65608,0.99796,53.09973,-0.02450,-0.02773,92194.50000,96607.33333
2015-04-16,564.50000,570.68000,564.50000,568.28000,100520.00000,0.00670,,,,,,565.75898,1.00446,56.11529,-0.00952,-0.01513,92994.00000,96467.00000
2015-04-17,568.28000,572.76000,568.28000,568.32000,107310.00000,0.00010,,,,,,565.85941,1.00435,56.14742,-0.01237,-0.01630,90782.50000,96253.83333
2015-04-20,568.52000,568.83000,562.66000,565.04000,98950.00000,-0.00580,,,,,,565.82728,0.99861,52.73749,-0.01025,-0.01700,90752.50000,96125.00000
2015-04-21,563.78000,567.52000,562.24000,562.24000,98590.00000,-0.00500,,,,,,565.68660,0.99391,49.94875,-0.00915,-0.01622,91086.00000,96295.16667
2015-04-22,562.58000,565.04000,561.53000,562.51000,91610.00000,0.00050,,,,,,565.56203,0.99460,50.22210,0.00282,-0.01697,91286.00000,96497.66667
2015-04-23,562.85000,564.45000,557.57000,561.25000,76340.00000,-0.00220,,,,,,565.39293,0.99267,48.88048,0.00915,-0.01383,90911.50000,96386.00000
2015-04-24,563.17000,567.36000,561.56000,565.77000,61680.00000,0.00810,,,,,,565.40772,1.00064,53.66257,0.02602,-0.01526,89414.00000,96016.83333
2015-04-27,567.77000,568.47000,562.40000,562.40000,61880.00000,-0.00600,,,,,,565.28977,0.99489,49.91349,0.03157,-0.03431,87076.50000,93979.50000
2015-05-04,560.62000,563.36000,545.08000,545.08000,112530.00000,-0.03080,,,,,,564.49723,0.96560,35.99485,-0.01098,-0.06124,88522.00000,93523.16667
2015-05-05,544.80000,552.65000,539.04000,552.65000,116970.00000,0.01390,,,,,,564.03263,0.97982,43.42105,0.02550,-0.04600,87914.00000,92847.00000
2015-05-06,553.30000,555.51000,548.17000,549.30000,89290.00000,-0.00610,,,,,,563.45488,0.97488,41.14589,0.00448,-0.05903,87890.50000,92442.50000
2015-05-07,548.51000,554.22000,547.53000,552.98000,70110.00000,0.00670,,,,,,563.04410,0.98213,44.58112,0.00936,-0.05195,87860.50000,91783.00000
2015-05-08,551.57000,556.39000,550.93000,554.51000,72950.00000,0.00280,,,,,,562.70943,0.98543,45.99256,0.02125,-0.03743,87915.50000,91295.50000
2015-05-11,554.50000,556.20000,550.57000,551.67000,108340.00000,-0.00510,,,,,,562.27651,0.98114,43.76445,0.00650,-0.03279,88493.50000,91683.33333
2015-05-12,551.98000,552.56000,542.70000,544.41000,79640.00000,-0.01320,,,,,,561.57586,0.96943,38.61450,-0.00604,-0.02343,88468.00000,91394.66667
2015-05-13,545.50000,546.99000,538.76000,542.82000,79430.00000,-0.00290,,,,,,560.84034,0.96787,37.57173,-0.01399,-0.03318,87716.50000,91049.00000
2015-05-14,542.53000,545.00000,540.72000,543.69000,68000.00000,0.00160,,,,,,560.16778,0.97058,38.54958,-0.01866,-0.04140,85906.50000,90870.00000
2015-05-15,543.61000,545.48000,537.44000,537.44000,74950.00000,-0.01150,,,,,,559.27649,0.96096,34.38302,-0.03950,-0.06391,86047.00000,91047.83333
2015-05-18,535.82000,536.71000,528.90000,528.95000,105370.00000,-0.01580,,,,,,558.08722,0.94779,29.68881,-0.05320,-0.07776,87838.50000,91615.33333
2015-05-19,530.00000,537.19000,530.00000,536.82000,93790.00000,0.01490,,,,,,557.25321,0.96333,38.12225,-0.04903,-0.06562,88412.50000,91948.00000
2015-05-20,536.35000,550.33000,536.07000,550.10000,128460.00000,0.02470,,,,,,556.97269,0.98766,49.19583,-0.03199,-0.05442,89809.50000,92797.33333
2015-05-21,550.99000,554.00000,547.95000,552.56000,112190.00000,0.00450,,,,,,556.79965,0.99239,50.94705,-0.02773,-0.05492,90053.50000,93284.00000
2015-05-22,553.41000,561.82000,550.81000,561.82000,119600.00000,0.01680,,,,,,556.99652,1.00866,56.96104,-0.00570,-0.04329,91086.00000,94046.66667
2015-05-25,560.80000,563.84000,558.50000,563.00000,108200.00000,0.00210,,,,,,557.23195,1.01035,57.67319,0.00135,-0.05687,91566.50000,94801.83333
2015-05-26,563.31000,570.29000,562.58000,567.20000,143160.00000,0.00750,,,,,,557.62286,1.01717,60.19765,0.00834,-0.04296,94144.00000,95533.83333
2015-05-27,564.64000,569.63000,563.28000,566.48000,115040.00000,-0.00130,,,,,,557.97020,1.01525,59.54204,0.00932,-0.05068,96079.00000,95952.16667
2015-05-28,566.13000,576.92000,564.73000,572.97000,151800.00000,0.01150,,,,,,558.55842,1.02580,63.41034,0.01273,-0.03308,100585.00000,97177.00000
2015-05-29,572.73000,577.03000,568.70000,569.56000,135980.00000,-0.00600,,,,,,558.98986,1.01891,60.15581,0.01273,-0.03584,104290.00000,97999.00000
2015-06-01,571.15000,579.58000,570.14000,574.98000,118500.00000,0.00950,,,,,,559.61692,1.02745,63.37356,0.05485,-0.03643,104588.50000,98093.50000
2015-06-02,575.70000,581.24000,570.31000,570.31000,123890.00000,-0.00810,,,,,,560.03626,1.01834,58.95567,0.03196,-0.05010,104934.50000,98149.66667
2015-06-03,570.55000,573.91000,567.81000,567.90000,125470.00000,-0.00420,,,,,,560.34464,1.01348,56.75675,0.03386,-0.04860,106743.50000,98001.50000
2015-06-04,568.01000,573.50000,567.89000,568.99000,113850.00000,0.00190,,,,,,560.68367,1.01481,57.52832,0.02895,-0.04206,108930.50000,98204.33333
2015-06-05,568.63000,579.01000,568.37000,578.07000,147670.00000,0.01600,,,,567.29190,,561.36549,1.02976,63.38861,0.04249,-0.01762,112666.50000,99018.33333
2015-06-08,580.74000,585.51000,579.45000,579.83000,193170.00000,0.00300,,,,567.54018,,562.08959,1.03156,64.41359,0.05105,-0.01667,116908.00000,100485.00000
2015-06-09,578.68000,582.13000,573.73000,574.47000,162010.00000,-0.00920,,,,567.67740,,562.57510,1.02114,58.99655,0.05522,-0.02058,121026.50000,101746.50000
2015-06-10,576.06000,576.62000,569.59000,574.10000,133530.00000,-0.00060,,,,567.80458,,563.02705,1.01967,58.63000,0.05762,-0.02452,123731.50000,102593.00000
2015-06-11,577.32000,582.68000,575.25000,581.05000,166700.00000,0.01210,,,,568.06687,,563.73383,1.03072,63.24890,0.06872,-0.00862,128666.50000,103750.00000
2015-06-12,582.54000,585.01000,578.80000,582.73000,163050.00000,0.00290,,,,568.35723,,564.47878,1.03233,64.28688,0.08427,0.00332,133071.50000,104791.83333
2015-06-15,583.51000,586.67000,581.35000,586.48000,154920.00000,0.00640,,,,568.71609,,565.34157,1.03739,66.55740,0.10876,0.00811,135549.00000,105622.83333
2015-06-16,587.76000,589.33000,580.35000,580.35000,162620.00000,-0.01050,,,,568.94647,,565.93014,1.02548,59.85803,0.08109,0.00289,138990.50000,106532.50000
2015-06-17,578.53000,584.04000,575.88000,578.87000,131420.00000,-0.00260,,,,569.14297,,566.43759,1.02195,58.33142,0.05230,0.00894,139138.50000,107314.00000
2015-06-18,578.73000,583.02000,578.47000,580.35000,98180.00000,0.00260,,,,569.36490,,566.98317,1.02358,59.44528,0.05029,0.00853,138438.00000,106424.66667
2015-06-19,584.08000,588.48000,582.47000,584.70000,201250.00000,0.00750,,,,569.66856,,567.67795,1.02999,62.60902,0.04072,0.02419,142520.50000,108119.66667
2015-06-22,588.33000,594.08000,588.01000,594.08000,154760.00000,0.01600,,,,570.15196,,568.71332,1.04460,68.34379,0.05520,0.04697,144848.50000,109167.00000
2015-06-23,592.44000,595.11000,590.76000,593.07000,130760.00000,-0.00170,,,,570.60578,,569.66849,1.04108,67.14954,0.04561,0.05730,144228.50000,109886.16667
2015-06-24,592.19000,594.01000,589.02000,590.02000,128940.00000,-0.00510,,,,570.99022,,570.46659,1.03428,63.53878,0.04155,0.06088,144923.50000,110638.00000
2015-06-25,589.29000,590.37000,585.34000,587.99000,114600.00000,-0.00340,,,,571.32685,,571.15378,1.02948,61.18074,0.02621,0.06632,143063.50000,111020.83333
2015-06-26,586.04000,592.59000,581.75000,581.75000,152470.00000,-0.01060,,,,571.53325,,571.56932,1.01781,54.48687,0.02140,0.06706,143888.00000,111751.50000
2015-06-29,580.16000,591.75000,579.61000,591.75000,121740.00000,0.01720,,,,571.93358,,572.36072,1.03388,61.71592,0.02917,0.07370,144050.00000,112386.83333
