Date,Open,High,Low,Price,Vol,Change,BBL_200_2,BBM_200_2,BBU_200_2,EMA_100,EMA_200,EMA_50,Price_EMA50_Ratio,RSI_14,Return_20,Return_60,V_Roll_MEAN_20,V_Roll_MEAN_60
2015-01-01,318.20000,321.40000,313.50000,314.90000,12820.00000,-0.01050,,,,,,,,,,,12820.00000,12820.00000
2015-01-02,314.90000,316.40000,313.10000,315.20000,14730.00000,0.00100,,,,,,,,,,,13775.00000,13775.00000
2015-01-03,315.20000,315.80000,284.90000,287.10000,47370.00000,-0.08910,,,,,,,,,,,24973.33333,24973.33333
2015-01-04,287.10000,289.90000,255.90000,264.70000,88770.00000,-0.07800,,,,,,,,,,,40922.50000,40922.50000
2015-01-05,264.70000,278.30000,262.90000,274.80000,54990.00000,0.03820,,,,,,,,,,,43736.00000,43736.00000
2015-01-06,274.80000,285.10000,271.50000,282.30000,21940.00000,0.02700,,,,,,,,,,,40103.33333,40103.33333
2015-01-07,282.30000,296.10000,280.70000,291.30000,30670.00000,0.03210,,,,,,,,,,,38755.71429,38755.71429
2015-01-08,291.30000,292.70000,279.00000,282.70000,20180.00000,-0.02970,,,,,,,,,,,36433.75000,36433.75000
2015-01-09,282.70000,290.60000,277.30000,288.00000,20930.00000,0.01870,,,,,,,,,,,34711.11111,34711.11111
2015-01-10,288.00000,289.30000,272.00000,273.40000,14730.00000,-0.05080,,,,,,,,,,,32713.00000,32713.00000
2015-01-11,273.40000,278.00000,263.80000,264.80000,15110.00000,-0.03140,,,,,,,,,,,31112.72727,31112.72727
2015-01-12,264.80000,273.10000,263.30000,269.30000,25390.00000,0.01720,,,,,,,,,,,30635.83333,30635.83333
2015-01-13,269.30000,269.10000,217.10000,221.30000,95500.00000,-0.17840,,,,,,,,,,,35625.38462,35625.38462
2015-01-14,221.30000,230.90000,157.30000,164.90000,170680.00000,-0.25470,,,,,,,,,,,45272.14286,45272.14286
2015-01-15,164.90000,231.30000,164.60000,209.80000,124670.00000,0.27200,,,,,,,,32.42671,,,50565.33333,50565.33333
2015-01-16,209.80000,222.60000,198.70000,206.90000,62320.00000,-0.01360,,,,,,,,31.93412,,,51300.00000,51300.00000
2015-01-17,206.90000,212.60000,191.70000,199.60000,43130.00000,-0.03510,,,,,,,,30.67106,,,50819.41176,50819.41176
2015-01-18,199.60000,220.70000,192.50000,210.60000,40370.00000,0.05490,,,,,,,,34.85245,,,50238.88889,50238.88889
2015-01-19,210.60000,219.50000,205.50000,215.90000,31580.00000,0.02490,,,,,,,,36.82937,,,49256.84211,49256.84211
2015-01-20,215.90000,216.60000,203.40000,210.60000,37480.00000,-0.02460,,,,,,,,35.66389,,,48668.00000,48668.00000
2015-01-21,210.60000,229.30000,207.10000,228.20000,43180.00000,0.08370,,,,,,,,42.20460,-0.27533,,50186.00000,48406.66667
2015-01-22,228.20000,238.80000,225.60000,232.70000,53710.00000,0.01990,,,,,,,,43.77843,-0.26174,,52135.00000,48647.72727
