Date,Open,High,Low,Price,Vol,Change,BBB_20_2,BBL_20_2,BBM_20_2,BBP_20_2,BBU_20_2,EMA_20,EMA_200,EMA_50,RSI_14,Return_1,Return_5,V_Roll_MEAN_20
2015-01-01,318.20000,321.40000,313.50000,314.90000,12820.00000,-0.01050,,,,,,,,,,,,12820.00000
2015-01-02,314.90000,316.40000,313.10000,315.20000,14730.00000,0.00100,,,,,,,,,,0.00095,,13775.00000
2015-01-03,315.20000,315.80000,284.90000,287.10000,47370.00000,-0.08910,,,,,,,,,,-0.08915,,24973.33333
2015-01-04,287.10000,289.90000,255.90000,264.70000,88770.00000,-0.07800,,,,,,,,,,-0.07802,,40922.50000
2015-01-05,264.70000,278.30000,262.90000,274.80000,54990.00000,0.03820,,,,,,,,,,0.03816,,43736.00000
2015-01-06,274.80000,285.10000,271.50000,282.30000,21940.00000,0.02700,,,,,,,,,,0.02729,-0.10352,40103.33333
2015-01-07,282.30000,296.10000,280.70000,291.30000,30670.00000,0.03210,,,,,,,,,,0.03188,-0.07582,38755.71429
2015-01-08,291.30000,292.70000,279.00000,282.70000,20180.00000,-0.02970,,,,,,,,,,-0.02952,-0.01533,36433.75000
2015-01-09,282.70000,290.60000,277.30000,288.00000,20930.00000,0.01870,,,,,,,,,,0.01875,0.08802,34711.11111
2015-01-10,288.00000,289.30000,272.00000,273.40000,14730.00000,-0.05080,,,,,,,,,,-0.05069,-0.00509,32713.00000
2015-01-11,273.40000,278.00000,263.80000,264.80000,15110.00000,-0.03140,,,,,,,,,,-0.03146,-0.06199,31112.72727
2015-01-12,264.80000,273.10000,263.30000,269.30000,25390.00000,0.01720,,,,,,,,,,0.01699,-0.07552,30635.83333
2015-01-13,269.30000,269.10000,217.10000,221.30000,95500.00000,-0.17840,,,,,,,,,,-0.17824,-0.21719,35625.38462
2015-01-14,221.30000,230.90000,157.30000,164.90000,170680.00000,-0.25470,,,,,,,,,,-0.25486,-0.42743,45272.14286
2015-01-15,164.90000,231.30000,164.60000,209.80000,124670.00000,0.27200,,,,,,,,,32.42671,0.27229,-0.23263,50565.33333
2015-01-16,209.80000,222.60000,198.70000,206.90000,62320.00000,-0.01360,,,,,,,,,31.93412,-0.01382,-0.21866,51300.00000
2015-01-17,206.90000,212.60000,191.70000,199.60000,43130.00000,-0.03510,,,,,,,,,30.67106,-0.03528,-0.25882,50819.41176
2015-01-18,199.60000,220.70000,192.50000,210.60000,40370.00000,0.05490,,,,,,,,,34.85245,0.05511,-0.04835,50238.88889
2015-01-19,210.60000,219.50000,205.50000,215.90000,31580.00000,0.02490,,,,,,,,,36.82937,0.02517,0.30928,49256.84211
2015-01-20,215.90000,216.60000,203.40000,210.60000,37480.00000,-0.02460,66.58168,168.37726,252.40500,0.25124,336.43274,252.40500,,,35.66389,-0.02455,0.00381,48668.00000
2015-01-21,210.60000,229.30000,207.10000,228.20000,43180.00000,0.08370,64.10137,168.56186,248.07000,0.37504,327.57814,250.09976,,,42.20460,0.08357,0.10295,50186.00000
2015-01-22,228.20000,238.80000,225.60000,232.70000,53710.00000,0.01990,60.24382,170.46411,243.94500,0.42348,317.42589,248.44264,,,43.77843,0.01972,0.16583,52135.00000
2015-01-23,232.70000,237.00000,224.80000,232.20000,38170.00000,-0.00230,58.77541,170.31686,241.20000,0.43652,312.08314,246.89572,,,43.63625,-0.00215,0.10256,51675.00000
2015-01-24,232.20000,248.90000,229.60000,248.20000,33240.00000,0.06890,58.36728,170.22482,240.37500,0.55577,310.52518,247.01994,,,49.30977,0.06891,0.14961,48898.50000
2015-01-25,248.20000,256.40000,241.40000,252.10000,50190.00000,0.01580,57.35079,170.63699,239.24000,0.59373,307.84301,247.50376,,,50.61467,0.01571,0.19706,48658.50000
2015-01-26,252.10000,310.90000,251.50000,269.20000,105710.00000,0.06780,56.31656,171.40357,238.58500,0.72785,305.76643,249.57006,,,55.96708,0.06783,0.17967,52847.00000
2015-01-27,269.20000,276.90000,247.30000,263.30000,50260.00000,-0.02200,53.80730,173.37358,237.18500,0.70463,300.99642,250.87768,,,53.80049,-0.02192,0.13150,53826.50000
2015-01-28,263.30000,267.70000,228.10000,236.20000,63770.00000,-0.10290,51.35013,174.55954,234.86000,0.51111,295.16046,249.47980,,,45.15393,-0.10292,0.01723,56006.00000
2015-01-29,236.20000,241.50000,220.40000,234.00000,54490.00000,-0.00920,47.51689,177.00239,232.16000,0.51668,287.31761,248.00554,,,44.52828,-0.00931,-0.05721,57684.00000
2015-01-30,234.00000,244.80000,227.20000,231.80000,48230.00000,-0.00920,45.04203,178.26365,230.08000,0.51660,281.89635,246.46215,,,43.87361,-0.00940,-0.08052,59359.00000
2015-01-31,231.80000,235.40000,216.50000,218.50000,42150.00000,-0.05750,43.45673,178.27539,227.76500,0.40639,277.25461,243.79909,,,40.04091,-0.05738,-0.18834,60711.00000
2015-02-01,218.50000,231.40000,209.70000,225.30000,41160.00000,0.03100,40.49675,179.89176,225.56500,0.49710,271.23824,242.03727,,,42.79258,0.03112,-0.14432,61499.50000
2015-02-02,225.30000,242.50000,220.50000,238.90000,39020.00000,0.06020,40.61715,180.45724,226.44500,0.63542,272.43276,241.73848,,,47.93860,0.06036,0.01143,58675.50000
2015-02-03,238.90000,247.50000,223.90000,227.40000,63080.00000,-0.04790,31.63330,193.25972,229.57000,0.47012,265.88028,240.37291,,,44.30903,-0.04814,-0.02821,53295.50000
2015-02-04,227.40000,230.70000,220.20000,226.60000,55240.00000,-0.00360,30.55630,195.20762,230.41000,0.44588,265.61238,239.06121,,,44.05912,-0.00352,-0.02243,49824.00000
2015-02-05,226.60000,229.90000,214.40000,216.50000,40640.00000,-0.04440,29.58394,196.73682,230.89000,0.28933,265.04318,236.91252,,,40.92112,-0.04457,-0.00915,48740.00000
2015-02-06,216.50000,226.20000,215.60000,223.00000,52520.00000,0.02970,26.94701,200.79338,232.06000,0.35512,263.32662,235.58752,,,43.70020,0.03002,-0.01021,49209.50000
2015-02-07,223.00000,231.00000,222.40000,227.70000,39760.00000,0.02120,25.56471,203.14298,232.91500,0.41242,262.68702,234.83633,,,45.68959,0.02108,-0.04688,49179.00000
2015-02-08,227.70000,230.20000,219.50000,223.70000,29050.00000,-0.01760,24.91694,204.23877,233.30500,0.33477,262.37123,233.77572,,,44.25630,-0.01757,-0.01627,49052.50000
2015-02-09,223.70000,225.00000,215.70000,220.30000,91690.00000,-0.01490,23.80951,205.95787,233.79000,0.25765,261.62213,232.49232,,,43.02091,-0.01520,-0.02780,51763.00000
2015-02-10,220.30000,222.20000,214.40000,219.70000,86150.00000,-0.00300,24.35164,204.95090,233.36500,0.25954,261.77910,231.27401,,,42.79389,-0.00272,0.01478,53911.50000
