Date,Open,High,Low,Price,Vol,Change,BBL_200_2,BBM_200_2,BBU_200_2,EMA_100,EMA_200,EMA_50,Price_EMA50_Ratio,RSI_14,Return_20,Return_60,V_Roll_MEAN_20,V_Roll_MEAN_60
2015-01-02,1184.00000,1194.90000,1167.30000,1186.20000,120680.00000,0.00180,,,,,,,,,,,120680.00000,120680.00000
2015-01-05,1187.80000,1207.50000,1177.80000,1204.00000,149110.00000,0.01500,,,,,,,,,,,134895.00000,134895.00000
2015-01-06,1204.00000,1223.30000,1201.60000,1219.40000,190360.00000,0.01280,,,,,,,,,,,153383.33333,153383.33333
2015-01-07,1219.00000,1219.40000,1209.10000,1210.70000,117090.00000,-0.00710,,,,,,,,,,,144310.00000,144310.00000
2015-01-08,1211.00000,1216.80000,1204.20000,1208.50000,122490.00000,-0.00180,,,,,,,,,,,139946.00000,139946.00000
2015-01-09,1208.90000,1224.00000,1207.00000,1216.10000,155980.00000,0.00630,,,,,,,,,,,142618.33333,142618.33333
2015-01-12,1223.00000,1236.00000,1217.50000,1232.80000,138520.00000,0.01370,,,,,,,,,,,142032.85714,142032.85714
2015-01-13,1233.10000,1244.50000,1227.40000,1234.40000,179650.00000,0.00130,,,,,,,,,,,146735.00000,146735.00000
2015-01-14,1231.20000,1244.60000,1224.90000,1234.50000,193110.00000,0.00010,,,,,,,,,,,151887.77778,151887.77778
2015-01-15,1229.70000,1267.20000,1226.10000,1264.80000,288790.00000,0.02450,,,,,,,,,,,165578.00000,165578.00000
2015-01-16,1263.50000,1282.40000,1255.20000,1276.90000,219410.00000,0.00960,,,,,,,,,,,170471.81818,170471.81818
2015-01-19,1280.70000,1297.20000,1272.10000,1294.20000,249780.00000,0.01350,,,,,,,,,,,177080.83333,177080.83333
2015-01-21,1295.30000,1307.00000,1284.60000,1293.70000,210390.00000,-0.00040,,,,,,,,,,,179643.07692,179643.07692
