Date,Open,High,Low,Price,Vol,Change,BBB_20_2,BBL_20_2,BBM_20_2,BBP_20_2,BBU_20_2,EMA_20,EMA_200,EMA_50,RSI_14,Return_1,Return_5,V_Roll_MEAN_20,Target_Up_Next1D
2015-01-02,1184.00000,1194.90000,1167.30000,1186.20000,120680.00000,0.00180,,,,,,,,,,,,120680.00000,1.00000
2015-01-05,1187.80000,1207.50000,1177.80000,1204.00000,149110.00000,0.01500,,,,,,,,,,0.01501,,134895.00000,1.00000
2015-01-06,1204.00000,1223.30000,1201.60000,1219.40000,190360.00000,0.01280,,,,,,,,,,0.01279,,153383.33333,0.00000
2015-01-07,1219.00000,1219.40000,1209.10000,1210.70000,117090.00000,-0.00710,,,,,,,,,,-0.00713,,144310.00000,0.00000
2015-01-08,1211.00000,1216.80000,1204.20000,1208.50000,122490.00000,-0.00180,,,,,,,,,,-0.00182,,139946.00000,1.00000
2015-01-09,1208.90000,1224.00000,1207.00000,1216.10000,155980.00000,0.00630,,,,,,,,,,0.00629,0.02521,142618.33333,1.00000
2015-01-12,1223.00000,1236.00000,1217.50000,1232.80000,138520.00000,0.01370,,,,,,,,,,0.01373,0.02392,142032.85714,1.00000
2015-01-13,1233.10000,1244.50000,1227.40000,1234.40000,179650.00000,0.00130,,,,,,,,,,0.00130,0.01230,146735.00000,1.00000
2015-01-14,1231.20000,1244.60000,1224.90000,1234.50000,193110.00000,0.00010,,,,,,,,,,0.00008,0.01966,151887.77778,1.00000
2015-01-15,1229.70000,1267.20000,1226.10000,1264.80000,288790.00000,0.02450,,,,,,,,,,0.02454,0.04659,165578.00000,1.00000
2015-01-16,1263.50000,1282.40000,1255.20000,1276.90000,219410.00000,0.00960,,,,,,,,,,0.00957,0.05000,170471.81818,1.00000
2015-01-19,1280.70000,1297.20000,1272.10000,1294.20000,249780.00000,0.01350,,,,,,,,,,0.01355,0.04981,177080.83333,0.00000
2015-01-21,1295.30000,1307.00000,1284.60000,1293.70000,210390.00000,-0.00040,,,,,,,,,,-0.00039,0.04804,179643.07692,1.00000
2015-01-22,1293.70000,1307.80000,1279.10000,1300.70000,214910.00000,0.00540,,,,,,,,,,0.00541,0.05362,182162.14286,0.00000
2015-01-23,1301.50000,1302.90000,1284.30000,1292.60000,149210.00000,-0.00620,,,,,,,,,85.23607,-0.00623,0.02198,179965.33333,0.00000
2015-01-26,1292.80000,1299.20000,1275.60000,1279.40000,168890.00000,-0.01020,,,,,,,,,73.71611,-0.01021,0.00196,179273.12500,1.00000
2015-01-27,1280.70000,1297.40000,1272.00000,1291.70000,186950.00000,0.00960,,,,,,,,,76.85515,0.00961,-0.00193,179724.70588,0.00000
2015-01-28,1292.00000,1293.30000,1279.00000,1285.90000,180390.00000,-0.00450,,,,,,,,,72.46057,-0.00449,-0.00603,179761.66667,0.00000
2015-01-29,1284.00000,1286.60000,1252.10000,1255.90000,243650.00000,-0.02330,,,,,,,,,54.95643,-0.02333,-0.03444,183124.21053,1.00000
2015-01-30,1259.00000,1285.40000,1257.50000,1279.20000,163880.00000,0.01860,11.53134,1180.83152,1253.08000,0.68077,1325.32848,1253.08000,,,62.52770,0.01855,-0.01037,182162.00000,0.00000
2015-02-02,1283.00000,1283.90000,1266.50000,1276.90000,119880.00000,-0.00180,10.49662,1191.61145,1257.61500,0.64609,1323.61855,1255.34857,,,61.43003,-0.00180,-0.00195,182122.00000,0.00000
2015-02-03,1275.60000,1286.50000,1255.80000,1260.30000,181990.00000,-0.01300,9.71857,1199.18214,1260.43000,0.49894,1321.67786,1255.82014,,,54.05443,-0.01300,-0.02431,183766.00000,1.00000
2015-02-04,1261.50000,1273.30000,1256.90000,1264.50000,136180.00000,0.00330,9.23251,1204.39623,1262.68500,0.51557,1320.97377,1256.64679,,,55.50991,0.00333,-0.01664,181057.00000,0.00000
2015-02-05,1270.40000,1274.60000,1256.10000,1262.70000,113830.00000,-0.00140,8.40889,1212.08676,1265.28500,0.47570,1318.48324,1257.22329,,,54.71001,-0.00142,0.00541,180894.00000,0.00000
2015-02-06,1266.40000,1269.00000,1228.20000,1234.60000,205100.00000,-0.02230,7.68176,1217.94180,1266.59000,0.17121,1315.23820,1255.06869,,,44.04065,-0.02225,-0.03487,185024.50000,1.00000
2015-02-09,1235.90000,1243.60000,1234.40000,1241.50000,92650.00000,0.00560,7.01261,1223.40497,1267.86000,0.20352,1312.31503,1253.77643,,,46.78496,0.00559,-0.02772,181858.00000,0.00000
2015-02-10,1238.30000,1245.90000,1230.60000,1232.20000,97140.00000,-0.00750,7.02781,1223.27966,1267.83000,0.10012,1312.38034,1251.72153,,,43.67596,-0.00749,-0.02230,179789.00000,0.00000
2015-02-11,1234.10000,1238.70000,1216.50000,1219.60000,116280.00000,-0.01020,7.44415,1219.92799,1267.09000,-0.00348,1314.25201,1248.66234,,,39.81549,-0.01023,-0.03551,176620.50000,1.00000
