Date,Price
5/9/2025,"25,978.50"
5/8/2025,"25,963.50"
5/7/2025,"25,962.50"
5/6/2025,"25,963.50"
5/5/2025,"25,957.50"
5/2/2025,"26,005.00"
5/1/2025,"26,005.00"
4/30/2025,"26,005.00"
4/29/2025,"26,005.00"
4/28/2025,"26,000.00"
4/26/2025,"26,025.00"
4/25/2025,"26,021.50"
4/24/2025,"26,029.00"
4/23/2025,"25,995.00"
4/22/2025,"25,965.00"
4/21/2025,"25,871.00"
4/18/2025,"25,925.00"
4/17/2025,"25,837.00"
4/16/2025,"25,830.00"
4/15/2025,"25,790.00"
4/14/2025,"25,824.00"
4/11/2025,"25,715.00"
4/10/2025,"25,740.00"
4/9/2025,"25,960.00"
4/8/2025,"25,995.00"
4/7/2025,"25,780.00"
4/4/2025,"25,780.00"
4/3/2025,"25,790.00"
4/2/2025,"25,600.00"
4/1/2025,"25,620.00"
3/31/2025,"25,565.00"
3/28/2025,"25,550.00"
3/27/2025,"25,560.00"
3/26/2025,"25,555.00"
3/25/2025,"25,600.00"
3/24/2025,"25,620.00"
3/21/2025,"25,585.00"
3/20/2025,"25,545.00"
3/19/2025,"25,535.00"
3/18/2025,"25,510.00"
3/17/2025,"25,510.00"
3/14/2025,"25,500.00"
3/13/2025,"25,490.00"
3/12/2025,"25,445.00"
3/11/2025,"25,450.00"
3/10/2025,"25,525.00"
3/7/2025,"25,480.00"
3/6/2025,"25,485.00"
3/5/2025,"25,490.00"
3/4/2025,"25,540.00"
3/3/2025,"25,575.00"
2/28/2025,"25,530.00"
2/27/2025,"25,520.00"
2/26/2025,"25,535.00"
2/25/2025,"25,520.00"
2/24/2025,"25,468.00"
2/21/2025,"25,510.00"
2/20/2025,"25,500.00"
2/19/2025,"25,515.00"
2/18/2025,"25,500.00"
2/17/2025,"25,470.00"
2/14/2025,"25,370.00"
2/13/2025,"25,440.00"
2/12/2025,"25,550.00"
2/11/2025,"25,530.00"
2/10/2025,"25,380.00"
2/7/2025,"25,290.00"
2/6/2025,"25,260.00"
2/5/2025,"25,145.00"
2/4/2025,"25,160.00"
2/3/2025,"25,280.00"
1/31/2025,"25,060.00"
1/30/2025,"25,060.00"
1/29/2025,"25,060.00"
1/28/2025,"25,060.00"
1/27/2025,"25,060.00"
1/24/2025,"25,060.00"
1/23/2025,"25,080.00"
1/22/2025,"25,050.00"
1/21/2025,"25,260.00"
1/20/2025,"25,315.00"
1/17/2025,"25,315.00"
1/16/2025,"25,370.00"
1/15/2025,"25,375.00"
1/14/2025,"25,380.00"
1/13/2025,"25,390.00"
1/10/2025,"25,360.00"
1/9/2025,"25,375.00"
1/8/2025,"25,370.00"
1/7/2025,"25,360.00"
1/6/2025,"25,370.00"
1/3/2025,"25,400.00"
1/2/2025,"25,450.00"
1/1/2025,"25,480.00"
12/31/2024,"25,480.00"
12/30/2024,"25,476.00"
12/27/2024,"25,445.00"
12/26/2024,"25,425.00"
12/25/2024,"25,420.00"
12/24/2024,"25,425.00"
12/23/2024,"25,440.00"
12/20/2024,"25,445.00"
12/19/2024,"25,450.00"
12/18/2024,"25,445.00"
12/17/2024,"25,430.00"
12/16/2024,"25,385.00"
12/13/2024,"25,400.00"
12/12/2024,"25,394.00"
12/11/2024,"25,380.00"
12/10/2024,"25,360.00"
12/9/2024,"25,370.00"
12/6/2024,"25,375.00"
12/5/2024,"25,380.00"
12/4/2024,"25,400.00"
12/3/2024,"25,395.00"
12/2/2024,"25,374.00"
11/29/2024,"25,344.00"
11/28/2024,"25,358.00"
11/27/2024,"25,375.00"
11/26/2024,"25,405.00"
11/25/2024,"25,410.00"
11/22/2024,"25,417.00"
11/21/2024,"25,415.00"
11/20/2024,"25,415.00"
11/19/2024,"25,395.00"
11/18/2024,"25,405.00"
11/15/2024,"25,380.00"
11/14/2024,"25,390.00"
11/13/2024,"25,330.00"
11/12/2024,"25,340.00"
11/11/2024,"25,310.00"
11/8/2024,"25,260.00"
11/7/2024,"25,350.00"
11/6/2024,"25,370.00"
11/5/2024,"25,330.00"
11/4/2024,"25,310.00"
11/1/2024,"25,280.00"
10/31/2024,"25,270.00"
10/30/2024,"25,280.00"
10/29/2024,"25,295.00"
10/28/2024,"25,345.00"
10/25/2024,"25,355.00"
10/24/2024,"25,385.00"
10/23/2024,"25,400.00"
10/22/2024,"25,390.00"
10/21/2024,"25,285.00"
10/18/2024,"25,150.00"
10/17/2024,"25,180.00"
10/16/2024,"24,970.00"
10/15/2024,"24,925.00"
10/14/2024,"24,840.00"
10/11/2024,"24,805.00"
10/10/2024,"24,830.00"
10/9/2024,"24,830.00"
10/8/2024,"24,835.00"
10/7/2024,"24,840.00"
10/4/2024,"24,755.00"
10/3/2024,"24,745.00"
10/2/2024,"24,652.00"
10/1/2024,"24,595.00"
9/30/2024,"24,555.00"
9/27/2024,"24,590.00"
9/26/2024,"24,615.00"
9/25/2024,"24,580.00"
9/24/2024,"24,590.00"
9/23/2024,"24,615.00"
9/20/2024,"24,590.00"
9/19/2024,"24,565.00"
9/18/2024,"24,600.00"
9/17/2024,"24,620.00"
9/16/2024,"24,530.00"
9/13/2024,"24,530.00"
9/12/2024,"24,575.00"
9/11/2024,"24,550.00"
9/10/2024,"24,660.00"
9/9/2024,"24,680.00"
9/6/2024,"24,600.00"
9/5/2024,"24,730.00"
9/4/2024,"24,852.00"
9/3/2024,"24,860.00"
9/2/2024,"24,860.00"
8/30/2024,"24,860.00"
8/29/2024,"24,870.00"
8/28/2024,"24,855.00"
8/27/2024,"24,820.00"
8/26/2024,"24,860.00"
8/23/2024,"24,965.00"
8/22/2024,"24,960.00"
8/21/2024,"24,930.00"
8/20/2024,"24,915.00"
8/19/2024,"24,960.00"
8/16/2024,"25,050.00"
8/15/2024,"25,035.00"
8/14/2024,"25,020.00"
8/13/2024,"25,115.00"
8/12/2024,"25,120.00"
8/9/2024,"25,090.00"
8/8/2024,"25,135.00"
8/7/2024,"25,155.00"
8/6/2024,"25,130.00"
8/5/2024,"25,080.00"
8/2/2024,"25,205.00"
8/1/2024,"25,215.00"
7/31/2024,"25,235.00"
7/30/2024,"25,275.00"
7/29/2024,"25,275.00"
7/26/2024,"25,300.00"
7/25/2024,"25,285.00"
7/24/2024,"25,350.00"
7/23/2024,"25,355.00"
7/22/2024,"25,325.00"
7/19/2024,"25,315.00"
7/18/2024,"25,310.00"
7/17/2024,"25,315.00"
7/16/2024,"25,375.00"
7/15/2024,"25,360.00"
7/12/2024,"25,410.00"
7/11/2024,"25,423.00"
7/10/2024,"25,415.00"
7/9/2024,"25,413.00"
7/8/2024,"25,415.00"
7/5/2024,"25,412.00"
7/4/2024,"25,450.00"
7/3/2024,"25,450.00"
7/2/2024,"25,450.00"
7/1/2024,"25,450.00"
6/28/2024,"25,445.00"
6/27/2024,"25,455.00"
6/26/2024,"25,465.00"
6/25/2024,"25,455.00"
6/24/2024,"25,455.00"
6/21/2024,"25,450.00"
6/20/2024,"25,450.00"
